Food Name,Category,Spiciness,Rice/Noodle/Bread,Hot/Cold,Soup
간장게장,한식,x,밥,c,x
족발,한식,x,밥,h,x
수육,한식,x,밥,h,x
잔치국수,한식,x,면,h,o
탕수육,중식,x,밥,h,x
물냉면,한식,x,면,h,o
비빔냉면,한식,o,밥,c,x
차돌된장찌개,한식,x,밥,h,o
짜장면,중식,x,면,h,x
월남쌈,동남아식,x,밥,c,x
짬뽕,중식,o,면,h,o
잡탕밥,중식,x,밥,h,x
돼지갈비,한식,x,밥,h,x
유부초밥,한식,x,밥,c,x
소갈비,한식,x,밥,h,x
참치김치찌개,한식,o,밥,h,o
보리밥,한식,x,밥,h,x
호박떡,디저트 ,x,떡,c,x
육개장,한식,o,밥,h,o
팔보채,중식,x,밥,h,x
벌집삼겹살,한식,x,밥,h,x
버블티,디저트 ,x,버블티,c,
평양냉면,한식,x,면,c,o
알밥,일식,x,밥,h,x
대패삼겹살,한식,x,밥,h,x
꽈배기,디저트 ,x,빵,h,
도넛,디저트 ,x,빵,h,
초밥,일식,x,밥,c,x
회오리감자,간식,x,감자,h,
호미빙,디저트 ,x,아이스크림,c,
오징어버터구이,간식,x,구이,h,
연탄불고기,한식,x,밥,h,x
오레오빙수,디저트 ,x,아이스크림,c,
순두부찌개,한식,o,밥,h,o
회덮밥,일식,o,밥,c,x
깐풍기,중식,x,튀김,h,x
미역국,한식,x,밥,h,o
물회,한식,o,밥,c,o
콩나물국밥,한식,x,밥,h,o
오징어회,한식,x,밥,c,x
참치회,일식,x,밥,c,x
고등어구이,한식,x,밥,h,x
명란젓,한식(반찬),x,밥,c,x
배추김치,한식(반찬),o,밥,c,x
고사리 나물,한식(반찬),x,밥,c,x
크림카레우동,일식,x,면,h,o
갈비찜,한식,x,밥,h,x
치킨,한식,x,밥,h,x
경양식 돈까스,한식,x,밥,h,x
일식 돈까스 ,일식,x,밥,h,x
볶음김치,한식(반찬),o,밥,h,x
계란말이,한식(반찬),x,밥,h,x
숯불닭갈비,한식,o,밥,h,x
소고기무국,한식,x,밥,h,o
곰탕,한식,x,밥,h,o
갈비탕,한식,x,밥,h,o
호박전,한식(반찬),x,밥,h,x
치즈감자고로케,간식,x,빵,h,x
쫄병스낵,간식,x,과자,c,
케밥,터키식,x,빵,h,x
골뱅이무침,한식(안주),o,밥,c,x
깍두기,한식(반찬),o,밥,c,x
비빔국수,한식,o,면,c,x
꽃빵,중식,x,빵,h,x
참치비빔밥,일식,o,밥,c,x
불고기버거,한식,x,밥,h,x
겉절이,한식(반찬),o,밥,c,x
수제비,한식,x,밥,h,o
파전,한식,x,밥,h,x
명이나물,한식(반찬),x,밥,c,x
피자찐빵,간식,x,빵,h,x
오돌뼈,한식(안주),o,밥,h,x
양념게장,한식,o,밥,c,x
팟타이,태국식,x,면,h,x
떡볶이,한식,o,밥,h,x
뼈해장국,한식,o,밥,h,o
가리비구이,한식,x,밥,h,x
비지찌개,한식,x,밥,h,o
무지개떡,간식,x,떡,c,
간장새우,한식,x,밥,c,x
김밥,한식,x,밥,c,x
녹차모찌,디저트 ,x,떡,c,
생새우초밥,일식,x,밥,c,x
남산왕돈까스,한식,x,밥,h,x
조랭이떡,디저트 ,x,떡,c,
녹차치즈모찌,디저트 ,x,떡,c,
골뱅이소면무침,한식(안주),o,면,c,x
김치만두,한식,o,밥,h,x
군만두,중식,x,튀김,h,x
물만두,한식,x,밥,h,x
찐빵,간식,x,빵,h,x
멸치볶음,한식(반찬),x,밥,c,x
쫄면,한식,o,면,c,x
순대,한식,x,밥,h,x
곱창,한식,x,밥,h,x
대창,한식,x,밥,h,x
막창,한식,x,밥,h,x
LA갈비,한식,x,밥,h,x
콩나물무침,한식(반찬),x,밥,c,x
모찌롤,디저트 ,x,빵,c,
냉치킨,한식,x,밥,c,x
선지해장국,한식,o,밥,h,o
깐쇼새우,중식,x,튀김,h,x
유산슬,중식,x,밥,h,x
고구마빵,간식,x,빵,c,
돼지국밥,한식,x,밥,h,o
횡성한우,한식,x,밥,h,x
파김치,한식(반찬),o,밥,c,x
새우죽,한식,x,밥,h,x
고추장찌개,한식,o,밥,h,o
통감자,간식,x,감자,h,
엽떡,분식,o,떡,h,x
회냉면,한식,o,면,c,x
낙지젓,한식(반찬),o,밥,c,x
육포,간식,x,,c,
고구마밥,한식,x,밥,h,x
생선까스,한식,x,밥,h,x
오이지,한식(반찬),x,밥,c,x
된장국,한식,x,밥,h,o
찹쌀도넛,디저트 ,x,빵,h,
백김치,한식(반찬),x,밥,c,x
파래,한식(반찬),x,밥,c,x
안동찜닭,한식,x,밥,h,x
까르보나라떡볶이,분식,x,떡,h,x
설렁탕,한식,x,밥,h,o
석박지,한식(반찬),x,밥,c,x
육회비빔밥,한식,o,밥,c,x
어묵꼬치,간식,x,,h,o
열무비빔밥,한식,x,밥,c,x
광어회,한식,x,밥,c,x
고추잡채,중식,x,밥,h,x
닭도리탕,한식,o,밥,h,o
참치볶음,한식,x,밥,h,x
슈크림빵,디저트 ,x,빵,c,
오징어무침,한식(반찬),o,밥,c,x
도라지,한식(반찬),o,밥,c,x
양념갈비,한식,x,밥,h,x
닭똥집,한식(안주),x,밥,h,x
